"Feature","Probability"
"fragment_130.0625","0.633793327166"
"fragment_131.0675","0.0367145492792"
"fragment_146.0575","0.0333082250673"
"fragment_117.0575","0.0200523027781"
"loss_129.0575","0.00906889438715"
"loss_180.0775","0.00650433792102"
"fragment_103.0525","0.00576454696858"
"loss_138.0675","0.00565584249364"
"fragment_156.1025","0.00559523139386"
"loss_178.0975","0.00477758315125"
"fragment_170.0575","0.00464107454543"
"fragment_104.0525","0.00462897808228"
"loss_153.0425","0.00459654549033"
"fragment_800.4425","0.00449265928116"
"loss_82.0025","0.00447399579224"
"fragment_228.1375","0.00440956420244"
"loss_137.0625","0.00440457046084"
"loss_49.3325","0.00437413252694"
"fragment_389.3375","0.0043741308279"
"loss_162.1375","0.00437390384017"
"loss_109.8225","0.00437353717734"
"fragment_494.7625","0.00437321468101"
"fragment_798.4425","0.00418551778371"
"fragment_132.0475","0.00386510226167"
"fragment_158.0575","0.00376568779522"
"fragment_143.0725","0.0035889697341"
"fragment_158.0625","0.00328491043958"
"fragment_799.9375","0.00324516555193"
"fragment_132.0775","0.00304643225026"
"loss_135.0325","0.00289356960485"
"loss_179.0725","0.00286661272998"
"loss_178.0925","0.00273809922182"
"fragment_495.2675","0.00271119675467"
"loss_111.8575","0.00258468633218"
"fragment_799.4475","0.00252349989588"
"fragment_96.0875","0.00251242153859"
"loss_165.1325","0.00233137133923"
"fragment_128.0475","0.00213726208124"
"fragment_801.4425","0.00212108929382"
"loss_113.8175","0.00197763531142"
"fragment_802.4475","0.00191001017769"
"fragment_220.1675","0.00187594591013"
"loss_177.0925","0.00179693649485"
"fragment_147.0625","0.00178791810717"
"fragment_565.3575","0.00163899347094"
"fragment_803.4375","0.00161376382885"
"fragment_796.4075","0.0015918951743"
"fragment_212.1125","0.00159170252713"
"fragment_473.2475","0.00156527871937"
"loss_21.5175","0.00156527289716"
"fragment_207.1175","0.00149721530909"
"fragment_157.0825","0.00143866547716"
"loss_152.0825","0.00141373187112"
"loss_115.5675","0.00136344851836"
"fragment_230.1325","0.00135415099538"
"fragment_800.9525","0.00131635013413"
"loss_199.0825","0.0012991976178"
"fragment_206.1525","0.00118642429652"
"fragment_389.2075","0.00116681518311"
"loss_136.1525","0.0011635852633"
"fragment_133.0325","0.00116358525435"
"fragment_172.0725","0.00114520282989"
"loss_141.0775","0.00113117163118"
"loss_159.0675","0.00112573046165"
"loss_179.0775","0.00112407313473"
"loss_121.8425","0.00112386027013"
"loss_121.0925","0.00111730463145"
"loss_195.0625","0.00108790266876"
"loss_80.9975","0.001074170226"
"fragment_572.3225","0.00104955019651"
"loss_115.0675","0.00104176515556"
"fragment_214.1175","0.00103762752045"
"loss_119.1275","0.00102647051035"
"fragment_183.0825","0.00100541123876"
